,Username,Comment,Likes,Replies,link
116,              Shaurya Tomar            ,Obviously d ai that can develop emotions over time. Ai can not have emotions yet,3,0,https://www.youtube.com/watch?v=ad79nYk2keg
117,              Norman Angel            ,D- AI that does develop emotions over time does  not exist yet,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
118,              darsh marvaniya            ,D. robots develops emotion over time,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
119,              Quantum Aridj Rosa            ,"Wow, that's so interesting",2,0,https://www.youtube.com/watch?v=ad79nYk2keg
120,              Yashwanthreddy Paakaala            ,C.is the answer “AI that can read its owner’s emotions “,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
121,              RazorbillAnimation            ,"There are parts of the human brain we don’t understand, AI will be that understanding.",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
122,              Sunita Choudhary            ,D : Option,8,0,https://www.youtube.com/watch?v=ad79nYk2keg
123,              AMAN SHRIVASTAVA            ,D. A.I. that develops emotions over time. Is the correct answer,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
124,              Mystical            ,"Artificial Intelligence is a fancy name for programming.   An Algorithm is a step by step set of instructions.  Programming is not intelligence.  It's really a stretch to call programming intelligence.  When you understand how they ""train"" the programs, you'll never again believe the hype.",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
125,              Mental Workshop            ,"Something dangerous was going on inside my mind, like if human Will be able to make AI to manufacture just same person as we love or hate and completely same mind mapping, man world would will as good place as worst, depends on use",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
126,              Raja rajan            ,option 4===> AI THAT DEVELOP EMOTION OVER TIME,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
127,              Singh Rishabh            ,Thx your AI video,4,0,https://www.youtube.com/watch?v=ad79nYk2keg
128,              Muzaffar Khan            ,AI That develops emotions over time.,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
129,              VIRALS            ,"""A"" is the right option ...",3,0,https://www.youtube.com/watch?v=ad79nYk2keg
130,              MOHANDAS. T.P            ,Interested in AI. Thank you for your help. Ans. D,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
131,              Biswanath Mishra            ,D. AI that develops emotions over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
132,              Anitha Ramesh            ,"The answer is ""D""",3,0,https://www.youtube.com/watch?v=ad79nYk2keg
133,              raul dacillo            ,AI was very helpful because too as of now our environment was not safe due to virus so better this AI will do the things which is risky  area dor the protection,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
134,              aabi deeds            ,D option is correct because no AI cannot read its owner's emotions,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
135,              sree arpita            ,the answer to the question at 04:10 is  D,4,0,https://www.youtube.com/watch?v=ad79nYk2keg
136,              Ashish Kumar Thakur            ,Option c-As robot were develop their emotions by absorbing other..or they have got this into their system earlier.,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
137,              heheheha            ,Very nice explanation,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
138,              Dragon Warriors            ,Great job,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
139,              Mahmoud Dx            ,From egypt🇪🇬 I love It,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
140,              B.M.S.A            ,D answer because Generalized Learning is a difficult task.,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
141,              Astoria            ,Your video was helpful,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
142,              Sreenath MK            ,"Hi , I am from kerala I think the right answer is option D",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
143,              Tarini Das            ,Answer D-AI that develops emotions over time.,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
144,              Minecraft King            ,Option B is correct.,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
145,              eugeneman18            ,4:10 Answer --->  C. AI that can reads it's owners emotions.,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
146,              Soundarya Mahendran            ,All of the above ,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
147,              Sun Flower            ,D. AI which develops emotions in time is to come,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
148,              Atulya Chauhan            ,D -  AI that develops Emotions over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
149,              D0ra Felicia Su •̀ ω •́            ,D-  AI that develops Emotions over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
150,              Toushiba khan            ,AI that can read its owner's emotions.,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
151,              Donna Weaver            ,D.  AI that develops emotions over time.,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
152,              K UDAY KUMAR            ,"Hai sir, the comment below shown has fallowed any pattern by based on machine learning? because the highest likes and the winner of the contest shows always the first comment. Is this youtube fallow the ML algorithm to predict the best comment on the real time basis ?",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
153,              Akrom Nasirov            ,Answer D- Artificial Intelligence that develops emotions overtime.,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
154,              CHARAN SK rmk            ,i think option c because robot can read the owner's emotion,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
155,              trevor gandanhamo            ,Hi thank you for the videos but i am struggling to know which video to start watching i am an absolute  beginner  can you help,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
156,              Insta Empire            ,D-AI that develops emotions over time,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
157,              Aaradhya Shrivastav            ,absultely amazing vid,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
158,              Jacob Frick            ,Still a dangerous but very cool idea kinda scary what the future holds maybe a Irobot scenario loo,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
159,              Jinkyu Yoon            ,"Answer is  D ,    AI that develops emotions over time..",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
160,              Geet T            ,Ans. Is option D- AI that develop emotions over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
161,              Abdul Qadir            ,"AI will create an entire race of machines who don't want to die, we will end up into Matrix. ",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
162,              Fikri Fadhlurrahman            ,"A. a robot named SOPHIA gained a citizenship from saudi arabia

 B. I dont find one but the closest thing is a robot named ATLAS made by Boston Dynamic

C. It's already there and so many kind of emotion reading alghoritm, some of which used to sell products to customer according to their mood when roaming trough onl. Shop

D. Still none, the closest maybe Open-AI with their GPT-3, apparently its just predicting next word to match your prompt",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
163,              saini hasini            ,Good explanation and prounce is good,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
164,              Uttarakhandi Cute Little Girl            ,D- AI that develops emotions over time,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
165,              Siddid Babu            ,"Good 
Lesson",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
166,              Omkar Vidhate            ,AI that develops emotions,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
167,              Sachith Methsara            ,"D.
 AI that develops Emotions over time.",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
168,              muskan sawa            ,can i get your ppt? it would be really helpful,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
169,              Md Rayan            ,D & Also The High-Level  Understanding AI like JEXI,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
170,              Chase Lilyquist            ,It's always better to know.,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
171,              Manish yadav            ,Answer is C. AI that can read it's owner's emotion,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
172,              HALEEMA SADIA            ,"An AI robot with citizenship exists. As An AI robot ""sophia"" has a citizenship of Saudia Arabia.
A robot with muscular skeletal system also exits. Many humanoid robots have a muscular skeletal system like ""AMECA"".
AI can also read its owner's emotion.
But AI cannot develop emotions over time. so the correct answer Is D.
plz correct me If I am wrong",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
173,              Marizarasa Sarimurni            ,AI that develops emotions overtime.,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
174,              leelu appu            ,Is artificial intelligence going to replace human jobs .  Pl answer sir,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
175,              Pro SMS            ,AI that can read its owners emotions..,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
176,              madhu 😁            ,Option c is the correct  I think,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
177,              Suvarna Ratnam Kanikella            ,"option :D, AI that develops emotions  over time",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
178,              Hackersway            ,hey..anyone took the simplilearn AI masters Class...can you please share your review bcos i am planning to enroll in AI masters Class. Which is nearly 50000,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
179,              ayush akolkar            ,yes the answer is D all that develops emotions over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
180,              bhanu sai            ,AI that developed without emotions,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
181,              Sujal Bennadi            ,Options A and D,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
